time,open,high,low,close,Exit Arrows,ParabolicSAR,EMA,Basis,Upper,Lower,EMA,VWAP,Volume,RSI,Centre line,Volume strength,Price strength,ATR
2022-10-07T14:30:00+05:30,0.98018,0.98112,0.97262,0.97503,NaN,0.993047163,0.98139905,0.98817,1.002273795,0.974066205,0.983332859,0.978292754,31750,27.99964384,50,46.07243683,31.69959597,0.005056533
2022-10-07T18:30:00+05:30,0.97503,0.97912,0.97417,0.97612,NaN,0.991004446,0.98034324,0.987602,1.002654303,0.972549697,0.982431251,0.977632687,48451,31.81518122,50,44.0204664,31.75738859,0.005048924
2022-10-07T22:30:00+05:30,0.97612,0.97694,0.97308,0.97422,NaN,0.989166002,0.979118592,0.986693,1.00264537,0.97074063,0.981404845,0.977297133,17603,28.82017763,50,41.82736681,30.28878311,0.004964
2022-10-10T02:30:00+05:30,0.97422,0.97422,0.97247,0.97378,NaN,0.987511402,0.978050874,0.98553,1.001685645,0.969374355,0.980451739,0.97349,13198,28.13027388,50,39.74386032,29.2095285,0.004734429
2022-10-10T06:30:00+05:30,0.97378,0.97534,0.97325,0.97398,NaN,0.985706433,0.977236699,0.9842895,0.999985503,0.968593497,0.979642772,0.973850956,14051,28.9994018,50,37.94010038,29.10446515,0.004545541
2022-10-10T10:30:00+05:30,0.97398,0.97436,0.96816,0.96886,NaN,0.984118061,0.975561359,0.982852,0.998670522,0.967033478,0.978294925,0.972265572,23926,21.50842045,50,35.67061255,25.3064428,0.004663717
2022-10-10T14:30:00+05:30,0.96886,0.97192,0.96872,0.97147,NaN,0.981883933,0.974743087,0.9815945,0.996822724,0.966366276,0.97744181,0.971793622,22152,31.63588926,50,34.57555391,28.47116603,0.004559166
2022-10-10T18:30:00+05:30,0.97147,0.97464,0.96856,0.96919,NaN,0.979962582,0.97363247,0.9803165,0.995200269,0.965432731,0.976410334,0.971500894,30480,28.07582939,50,33.35029327,28.27349771,0.004667797
2022-10-10T22:30:00+05:30,0.96919,0.9724,0.96852,0.97046,NaN,0.978310221,0.972997976,0.9792805,0.993877088,0.964683912,0.975666542,0.971359565,16309,32.81366107,50,32.75042507,30.54357939,0.004611525
2022-10-11T02:30:00+05:30,0.97046,0.97227,0.96988,0.97203,1,0.97688919,0.972804381,0.978566,0.993113212,0.964018788,0.975211974,0.971393333,12845,38.45219013,50,32.81090672,34.49788476,0.004452845
2022-10-11T06:30:00+05:30,0.97203,0.97214,0.96704,0.96772,NaN,0.975667103,0.971787505,0.977525,0.992048005,0.963001995,0.974275477,0.969831914,23180,30.53728941,50,32.23111606,32.51758709,0.00449907
2022-10-11T10:30:00+05:30,0.96772,0.9725,0.96748,0.97076,NaN,0.974286767,0.971582004,0.976479,0.989731224,0.963226776,0.973836043,0.970022405,30600,40.28990273,50,32.60502627,36.40374491,0.00453628
