time,open,high,low,close,Exit Arrows,ParabolicSAR,EMA,Basis,Upper,Lower,EMA,VWAP,Volume,RSI,Centre line,Volume strength,Price strength,ATR
2022-10-13T18:30:00+05:30,1.12166,1.13808,1.11587,1.13298,NaN,1.095416275,1.115013855,1.1079905,1.124242523,1.091738477,1.112355501,1.120078063,102104,76.55237738,50,51.5393306,68.88807753,0.00961189
2022-10-13T22:30:00+05:30,1.13298,1.13531,1.1302,1.13338,NaN,1.097976098,1.118687084,1.1092895,1.128942344,1.089636656,1.114983564,1.121968619,44143,76.78789703,50,54.38818173,72.83798728,0.009290326
2022-10-14T02:30:00+05:30,1.13338,1.13377,1.129,1.13076,NaN,1.100382332,1.121101667,1.110692,1.132183969,1.089200031,1.116955618,1.131176667,20810,71.49608508,50,56.53753019,72.16703618,0.008967446
2022-10-14T06:30:00+05:30,1.13076,1.13671,1.13059,1.13218,NaN,1.102644192,1.123317334,1.112015,1.135302467,1.088727533,1.118858666,1.132538641,45614,72.64550802,50,58.61998834,72.4062721,0.008764057
2022-10-14T10:30:00+05:30,1.13218,1.13352,1.12546,1.1275,-1,1.104770341,1.124153867,1.112951,1.137130862,1.088771138,1.119938833,1.130804766,58223,63.19664792,50,59.64331831,67.80146001,0.008713767
2022-10-14T14:30:00+05:30,1.1275,1.13115,1.11666,1.12616,NaN,1.10676892,1.124555094,1.114144,1.138458183,1.089829817,1.120716479,1.128643775,67558,60.65537442,50,60.31160945,64.22841721,0.009126355
2022-10-14T18:30:00+05:30,1.12616,1.12888,1.11517,1.11618,NaN,1.108647585,1.122880075,1.114731,1.138643272,1.090818728,1.120149419,1.126078573,82148,45.36925418,50,59.50904794,54.7988357,0.009453758
2022-10-14T22:30:00+05:30,1.11618,1.11862,1.11558,1.11798,NaN,1.11041353,1.12190006,1.11519,1.138981382,1.091398618,1.119878241,1.125090656,35212,48.02692322,50,58.8947896,51.41287946,0.008995633
2022-10-17T02:30:00+05:30,1.11798,1.12524,1.11798,1.1225,NaN,1.112073518,1.122020048,1.115504,1.139506303,1.091501697,1.120205961,1.121906667,27969,54.30657971,50,58.80766859,52.85972958,0.008871659
2022-10-17T06:30:00+05:30,1.1225,1.12425,1.12162,1.12257,NaN,1.113633907,1.122130038,1.1167755,1.13940694,1.09414406,1.120501466,1.122419573,36432,54.40256617,50,58.69673068,53.63114788,0.008425826
2022-10-17T10:30:00+05:30,1.12257,1.13056,1.1223,1.12674,1,1.115100673,1.123052031,1.118261,1.139361628,1.097160372,1.121281283,1.124299821,54215,60.02966619,50,59.11385254,56.83040703,0.008413981
2022-10-17T14:30:00+05:30,1.12674,1.13522,1.12562,1.13387,NaN,1.116479432,1.125215625,1.1199755,1.140283397,1.099667603,1.122854872,1.126435318,49332,67.6976951,50,60.12364924,62.26405107,0.008498697
2022-10-17T18:30:00+05:30,1.13387,1.144,1.13344,1.13903,NaN,1.117775466,1.1279785,1.121745,1.142217695,1.101272305,1.124876763,1.129699948,60097,72.0614689,50,61.39215367,67.16275998,0.008645933
2022-10-17T22:30:00+05:30,1.13903,1.14032,1.1344,1.13634,NaN,1.119873429,1.1296508,1.123327,1.143166777,1.103487223,1.126309668,1.130630086,33195,66.77125358,50,62.03971143,66.96700678,0.008451223
2022-10-18T02:30:00+05:30,1.13634,1.13696,1.13499,1.13534,NaN,1.121803555,1.13078864,1.1247795,1.143647152,1.105911848,1.127438459,1.135763333,28636,64.78229024,50,62.41493826,65.87464851,0.007988279
2022-10-18T06:30:00+05:30,1.13534,1.14119,1.13314,1.13892,NaN,1.12357927,1.132414912,1.1262305,1.144758251,1.107702749,1.128873652,1.136884658,37107,68.55477508,50,63.05680423,67.2147118,0.007992688
2022-10-18T10:30:00+05:30,1.13892,1.14024,1.12867,1.12948,-1,1.125212929,1.131827929,1.1271425,1.144379652,1.109905348,1.128949446,1.134964707,58220,52.02346831,50,62.11350316,59.61909005,0.00824821
2022-10-18T14:30:00+05:30,1.12948,1.1347,1.12555,1.13273,NaN,1.144,1.132008344,1.128333,1.14354097,1.11312503,1.129422015,1.133754445,54336,56.12158478,50,61.55457914,57.87033742,0.008312623
2022-10-18T18:30:00+05:30,1.13273,1.13388,1.12803,1.13124,NaN,1.143631,1.131854675,1.129377,1.142183522,1.116570478,1.129649263,1.133072735,60091,53.75339356,50,60.78254929,55.81186549,0.008136722
2022-10-18T22:30:00+05:30,1.13124,1.13348,1.12799,1.13182,NaN,1.14326938,1.13184774,1.129885,1.142224286,1.117545714,1.129920605,1.13278902,39965,54.59248412,50,60.08095494,55.2021748,0.00794767
2022-10-19T02:30:00+05:30,1.13182,1.13581,1.13169,1.13412,NaN,1.142914992,1.132302192,1.129942,1.142348298,1.117535702,1.130445529,1.133873333,23184,57.99269712,50,59.68919197,56.59743596,0.007674265
2022-10-19T06:30:00+05:30,1.13412,1.1351,1.13179,1.13258,NaN,1.142567693,1.132357754,1.129902,1.142268797,1.117535203,1.130712338,1.133431126,37354,54.89623111,50,59.06149008,55.74683354,0.007362532
2022-10-19T10:30:00+05:30,1.13258,1.13308,1.12458,1.12623,NaN,1.142227339,1.131132203,1.1296755,1.142136717,1.117214283,1.130152046,1.130880305,52939,43.99849358,50,57.53683433,49.87266356,0.00744378
2022-10-19T14:30:00+05:30,1.12623,1.12864,1.12217,1.12461,NaN,1.141521445,1.129827762,1.129297,1.141890103,1.116703897,1.12945929,1.129089079,51471,41.62678928,50,55.93851457,45.74972642,0.007374224
2022-10-19T18:30:00+05:30,1.12461,1.12782,1.1189,1.11941,NaN,1.140360358,1.12774421,1.1288925,1.142190488,1.115594512,1.128203129,1.127373561,53088,34.84421878,50,53.8529018,40.2969726,0.007484637
2022-10-19T22:30:00+05:30,1.11941,1.12273,1.11852,1.12174,NaN,1.13864353,1.126543368,1.1286715,1.142286912,1.115056088,1.127395238,1.126433452,37702,39.78958147,50,52.38050939,40.04327703,0.007250734
2022-10-20T02:30:00+05:30,1.12174,1.1224,1.11978,1.12094,NaN,1.136631177,1.125422694,1.1289095,1.14178974,1.11602926,1.126588333,1.12104,22607,38.65626381,50,50.90641741,39.34977042,0.006919967
2022-10-20T06:30:00+05:30,1.12094,1.12408,1.1191,1.12217,NaN,1.134820059,1.124772155,1.129119,1.141403885,1.116834115,1.126036041,1.12151735,40572,41.53654198,50,49.78940314,40.4431562,0.006781398
2022-10-20T10:30:00+05:30,1.12217,1.12406,1.11796,1.11849,NaN,1.133190053,1.123515724,1.1289185,1.141747783,1.116089217,1.125092786,1.120879806,56747,35.86805373,50,48.17366358,38.15560497,0.006732727
2022-10-20T14:30:00+05:30,1.11849,1.13074,1.11714,1.1255,1,1.131362447,1.123912579,1.129065,1.14166584,1.11646416,1.125143688,1.122126785,64094,50.3797604,50,47.92980588,44.26768268,0.007223246
2022-10-20T18:30:00+05:30,1.1255,1.13366,1.12427,1.12552,NaN,1.11714,1.124234064,1.129004,1.141660958,1.116347042,1.125190727,1.123697171,70150,50.41577281,50,47.70622126,47.34172775,0.007378014
2022-10-20T22:30:00+05:30,1.12552,1.12558,1.12026,1.12322,NaN,1.11714,1.124031251,1.1284715,1.141160853,1.115782147,1.124944386,1.123585913,49970,46.0883003,50,47.10648889,46.71501402,0.007231013
2022-10-21T02:30:00+05:30,1.12322,1.12404,1.11987,1.12067,NaN,1.1174704,1.123359001,1.1275535,1.139699491,1.115407509,1.124410088,1.121526667,20057,41.63120669,50,46.16191842,44.17311035,0.00701237
2022-10-21T06:30:00+05:30,1.12067,1.12198,1.11902,1.11963,NaN,1.117794192,1.122613201,1.126718,1.138628025,1.114807975,1.123812577,1.120661642,38415,39.86243972,50,45.1693929,42.01777503,0.006722915
2022-10-21T10:30:00+05:30,1.11963,1.12224,1.1123,1.11302,-1,1.13366,1.12069456,1.125602,1.138232366,1.112971634,1.122463505,1.118433201,50507,30.57429924,50,43.47188071,36.29603713,0.006952706
2022-10-21T14:30:00+05:30,1.11302,1.11542,1.10606,1.11298,NaN,1.1332328,1.119151648,1.124305,1.136519191,1.112090809,1.121278067,1.116064163,56401,30.52587708,50,41.92666327,33.41095711,0.007124656
2022-10-21T18:30:00+05:30,1.11298,1.13002,1.11171,1.12604,1,1.132145888,1.120529319,1.124133,1.136146078,1.112119922,1.121873308,1.118758672,116309,56.07719735,50,42.85258929,44.74407723,0.007923609
2022-10-21T22:30:00+05:30,1.12604,1.13152,1.12425,1.12972,NaN,1.10606,1.122367455,1.1239825,1.135630877,1.112334123,1.122854145,1.12008157,44283,60.66331503,50,44.2494506,52.70369613,0.007876923
2022-10-24T02:30:00+05:30,1.12972,1.14084,1.12972,1.13283,NaN,1.1065692,1.124459964,1.124062,1.135927108,1.112196892,1.124101127,1.134463333,53589,64.21564602,50,45.93184914,58.45967108,0.008108571
2022-10-24T06:30:00+05:30,1.13283,1.13536,1.13003,1.13474,NaN,1.107940032,1.126515971,1.124208,1.136514996,1.111901004,1.125430986,1.134001562,39600,66.31724011,50,47.77026247,62.38845559,0.007910102
2022-10-24T10:30:00+05:30,1.13474,1.13828,1.13032,1.13262,NaN,1.109256031,1.127736777,1.124133,1.136213664,1.112052336,1.126329613,1.133901683,57567,61.78615867,50,49.14237036,62.08730713,0.007913666
2022-10-24T14:30:00+05:30,1.13262,1.1349,1.12736,1.13248,NaN,1.110519389,1.128685422,1.124128,1.13619475,1.11206125,1.127098411,1.133277122,55480,61.47411713,50,50.45496939,61.78071213,0.007886976
2022-10-24T18:30:00+05:30,1.13248,1.13444,1.12577,1.12757,-1,1.111732214,1.128462337,1.124195,1.136322419,1.112067581,1.12715736,1.132289547,67229,51.25990248,50,50.82393237,56.52030731,0.007942906
2022-10-24T22:30:00+05:30,1.12757,1.12968,1.12722,1.12792,NaN,1.112896525,1.12835387,1.1243605,1.136595917,1.112125083,1.12725269,1.131979679,22863,51.90080148,50,51.26690057,54.2105544,0.00755127
2022-10-25T02:30:00+05:30,1.12792,1.13258,1.12772,1.13186,NaN,1.114014264,1.129055096,1.124983,1.1374129,1.1125531,1.127828603,1.13072,20178,58.76716913,50,52.29987489,56.48886176,0.007359036
2022-10-25T06:30:00+05:30,1.13186,1.13246,1.12928,1.12997,NaN,1.115087294,1.129238077,1.1253945,1.137912315,1.112876685,1.128096278,1.130625485,34372,54.56367063,50,52.87651221,55.52626619,0.007060534
2022-10-25T10:30:00+05:30,1.12997,1.13326,1.1271,1.13204,NaN,1.116117402,1.129798461,1.1259495,1.138611554,1.113287446,1.128589243,1.130698768,39489,58.24376163,50,53.70233766,56.88501391,0.00699621
2022-10-25T14:30:00+05:30,1.13204,1.13642,1.13054,1.13636,1,1.117106306,1.131110769,1.126659,1.139968126,1.113349874,1.129560588,1.131739392,36236,64.91546807,50,55.05479365,60.90024099,0.00691648
2022-10-25T18:30:00+05:30,1.13636,1.14996,1.13631,1.14701,NaN,1.118055654,1.134290615,1.128085,1.143527962,1.112642038,1.131741764,1.135659801,58257,75.68863327,50,57.27295209,68.29443713,0.007397446
2022-10-25T22:30:00+05:30,1.14701,1.14889,1.146,1.14746,NaN,1.119969914,1.136924492,1.129183,1.14671595,1.11165005,1.133706544,1.137244076,29266,76.03838442,50,59.37506153,72.16641077,0.007075486
2022-10-26T02:30:00+05:30,1.14746,1.1478,1.14323,1.14388,NaN,1.12176932,1.138315594,1.130101,1.148663066,1.111538934,1.134978226,1.14497,23082,67.36467203,50,60.51475413,69.7655414,0.006896522
2022-10-26T06:30:00+05:30,1.14388,1.14687,1.14307,1.14531,NaN,1.12346076,1.139714475,1.1312055,1.150608172,1.111802828,1.136269698,1.145037308,33755,68.95598483,50,61.72558378,69.36076312,0.006675342
2022-10-26T10:30:00+05:30,1.14531,1.16066,1.14452,1.16002,NaN,1.125050715,1.14377558,1.133173,1.155641538,1.110704462,1.139238485,1.149764277,50669,80.15447257,50,63.87419711,74.75761784,0.007351389
2022-10-26T14:30:00+05:30,1.16002,1.16202,1.15458,1.15544,NaN,1.127899458,1.146108464,1.1349635,1.158511174,1.111415826,1.141263675,1.152294842,53852,71.1628117,50,65.05791411,72.96021477,0.007357719
2022-10-26T18:30:00+05:30,1.15544,1.16391,1.15443,1.1611,NaN,1.131311512,1.149106771,1.1373675,1.161277664,1.113457336,1.143743215,1.154452825,64958,75.05349083,50,66.46748677,74.0068528,0.00750931
2022-10-26T22:30:00+05:30,1.1611,1.16341,1.15976,1.16306,NaN,1.13522333,1.151897417,1.1398715,1.1635292,1.1162138,1.146157813,1.155347138,30076,76.29923,50,67.83796624,75.1530414,0.007233645
2022-10-27T02:30:00+05:30,1.16306,1.16457,1.16105,1.16252,NaN,1.138665731,1.154021934,1.1416955,1.166408001,1.116982999,1.148203087,1.162713333,33897,75.13629003,50,68.90478046,75.14466572,0.006968385
2022-10-27T06:30:00+05:30,1.16252,1.16402,1.1605,1.16233,-1,1.142292328,1.155683547,1.143326,1.168949184,1.117702816,1.149968951,1.162482938,39126,74.68569445,50,69.73751279,74.91518009,0.006722072
2022-10-27T10:30:00+05:30,1.16233,1.16367,1.15858,1.15906,NaN,1.145411202,1.156358837,1.1446375,1.170659529,1.118615471,1.151105332,1.161651888,49938,66.91584151,50,69.78333857,70.9155108,0.006605495
2022-10-27T14:30:00+05:30,1.15906,1.1596,1.15492,1.15782,NaN,1.148093434,1.15665107,1.1457915,1.172001855,1.119581145,1.151944666,1.16026079,60783,64.07222118,50,69.54358621,67.49386599,0.00646796
2022-10-27T18:30:00+05:30,1.15782,1.16346,1.15567,1.15737,NaN,1.150400153,1.156794856,1.147029,1.172970698,1.121087302,1.152622832,1.159834916,78128,62.97955968,50,69.20512187,65.23671283,0.006562391
2022-10-27T22:30:00+05:30,1.15737,1.16018,1.15581,1.15654,NaN,1.152383932,1.156743885,1.148232,1.173588262,1.122875738,1.153112478,1.159577231,32643,60.82711893,50,68.68542993,63.03191588,0.006405792
2022-10-28T02:30:00+05:30,1.15654,1.15745,1.15444,1.15526,NaN,1.154089981,1.156447108,1.1496165,1.173275908,1.125957092,1.153380919,1.155716667,22365,57.42228114,50,67.86035897,60.22709851,0.006163235
2022-10-28T06:30:00+05:30,1.15526,1.15951,1.15482,1.15722,NaN,1.16457,1.156601686,1.1510815,1.172728617,1.129434383,1.153860804,1.15668022,42833,61.16683902,50,67.39324277,60.69696876,0.006058004
2022-10-28T10:30:00+05:30,1.15722,1.15736,1.15042,1.15272,NaN,1.164375,1.155825349,1.1521245,1.171895439,1.132353561,1.153718203,1.15529587,50258,49.84432555,50,65.85392,55.27064716,0.006121004
2022-10-28T14:30:00+05:30,1.15272,1.1575,1.1513,1.15392,NaN,1.1638168,1.155444279,1.153322,1.170281787,1.136362213,1.153743428,1.154972915,50875,52.48306484,50,64.56338512,53.876856,0.006126646
2022-10-28T18:30:00+05:30,1.15392,1.16,1.15338,1.15888,1,1.163280928,1.156131423,1.154664,1.168664861,1.140663139,1.154385499,1.155643656,62806,61.82278054,50,64.14911921,57.84981827,0.006161886
2022-10-28T22:30:00+05:30,1.15888,1.16239,1.15834,1.16135,NaN,1.162766491,1.157175139,1.1559135,1.167390099,1.144436901,1.155256062,1.156119545,23841,65.60972302,50,64.04769608,61.72977064,0.006011037
2022-10-31T02:30:00+05:30,1.16135,1.16136,1.15808,1.16074,NaN,1.16239,1.157888111,1.1566,1.167491821,1.145708179,1.155941554,1.16006,20252,63.85005361,50,63.75441572,62.78991213,0.005815963
2022-10-31T06:30:00+05:30,1.16074,1.1612,1.15858,1.15978,NaN,1.16239,1.158266489,1.157216,1.167336696,1.147095304,1.15642136,1.159945962,24933,60.95557571,50,63.2026132,61.87274392,0.00558768
2022-10-31T10:30:00+05:30,1.15978,1.16073,1.15427,1.15469,-1,1.1619112,1.157551191,1.1577565,1.165939793,1.149573207,1.15620494,1.15844338,36113,47.98137216,50,61.53511709,54.92705804,0.005649988
2022-10-31T14:30:00+05:30,1.15469,1.15672,1.15023,1.15066,NaN,1.161451552,1.156172953,1.158024,1.164789283,1.151258717,1.155511822,1.156469767,40795,40.33450142,50,59.29390985,47.63077973,0.005709989
2022-10-31T18:30:00+05:30,1.15066,1.15286,1.1476,1.14864,NaN,1.160778259,1.154666362,1.157455,1.165283736,1.149626264,1.154652845,1.15448447,50662,37.00857741,50,56.8673596,42.31967857,0.005677847
2022-10-31T22:30:00+05:30,1.14864,1.149,1.14603,1.14672,NaN,1.159723998,1.15307709,1.157019,1.166116512,1.147921488,1.153661239,1.153477687,27928,34.00981359,50,54.30649493,38.16474608,0.005484429
2022-11-01T02:30:00+05:30,1.14672,1.14824,1.14644,1.14809,NaN,1.158354598,1.152079672,1.1563685,1.166047684,1.146689316,1.152964834,1.14759,15585,38.03998263,50,52.31176968,38.10236436,0.005221256
2022-11-01T06:30:00+05:30,1.14809,1.1516,1.14742,1.15066,NaN,1.157122139,1.151795737,1.1557485,1.165220098,1.146276902,1.15267673,1.149196809,35953,45.11406415,50,51.10353163,41.60821425,0.005146881
2022-11-01T10:30:00+05:30,1.15066,1.155,1.15018,1.15293,1,1.156012925,1.15202259,1.155269,1.164280639,1.146257361,1.152708389,1.15088342,47763,50.70641246,50,50.53329679,46.15731336,0.005123532
2022-11-01T14:30:00+05:30,1.15293,1.15662,1.15131,1.1551,NaN,1.14603,1.152638072,1.1549075,1.163317082,1.146497918,1.15300734,1.151895274,41044,55.57443416,50,50.51640079,50.86587376,0.005136851
2022-11-01T18:30:00+05:30,1.1551,1.15604,1.14373,1.145,-1,1.15662,1.151110458,1.1542045,1.163420101,1.144988899,1.152006423,1.150761979,63486,36.63196879,50,48.86214584,43.74892128,0.005649219
2022-11-01T22:30:00+05:30,1.145,1.14867,1.14412,1.14814,NaN,1.15662,1.150516366,1.1537205,1.163140242,1.144300758,1.15152312,1.150343428,25340,43.38159719,50,47.98622822,43.56525923,0.005570703
2022-11-02T02:30:00+05:30,1.14814,1.15073,1.14738,1.15066,NaN,1.1563622,1.150545093,1.153385,1.162738655,1.144031345,1.15141523,1.14959,27730,48.34881656,50,47.66375584,45.95703789,0.005412082
2022-11-02T06:30:00+05:30,1.15066,1.15272,1.1497,1.15052,NaN,1.156109556,1.150540074,1.153084,1.162399541,1.143768459,1.151303326,1.15039267,37897,48.08515503,50,47.38538092,47.02109646,0.005241219
2022-11-02T10:30:00+05:30,1.15052,1.15242,1.14848,1.15114,NaN,1.155861965,1.150660059,1.152878,1.162174149,1.143581851,1.15128291,1.15049793,37941,49.45833247,50,47.29631825,48.23971447,0.005148274
2022-11-02T14:30:00+05:30,1.15114,1.15174,1.14845,1.15087,NaN,1.155619326,1.150702048,1.1525605,1.161673731,1.143447269,1.151231297,1.150456325,41838,48.82561846,50,47.19895166,48.53266646,0.005015541
2022-11-02T18:30:00+05:30,1.15087,1.1516,1.14492,1.14614,NaN,1.155381539,1.149789638,1.1522315,1.16176342,1.14269958,1.150594884,1.14978344,43873,38.99416907,50,46.24503193,43.76341777,0.00513443
2022-11-02T22:30:00+05:30,1.14614,1.1565,1.13881,1.13896,NaN,1.13881,1.14762371,1.1514835,1.162586464,1.140380536,1.149140524,1.14837792,73465,29.01647348,50,44.48003454,36.38994563,0.006031257
2022-11-03T02:30:00+05:30,1.13896,1.14028,1.13754,1.13939,NaN,1.1565,1.145976968,1.150509,1.162247233,1.138770767,1.147921708,1.13907,22219,30.21946185,50,42.9145636,33.30470374,0.005796167
2022-11-03T06:30:00+05:30,1.13939,1.14224,1.13907,1.14174,NaN,1.1565,1.145129575,1.1495285,1.160745193,1.138311807,1.147148995,1.140254365,34521,36.80427541,50,42.0440913,35.05448957,0.005608584
2022-11-03T10:30:00+05:30,1.14174,1.14187,1.12514,1.12584,NaN,1.1561208,1.14127166,1.1477835,1.161951195,1.133615805,1.14448537,1.136169688,44402,21.41931195,50,39.88329118,28.23690076,0.006402971
2022-11-03T14:30:00+05:30,1.12584,1.12788,1.11618,1.11634,NaN,1.154881568,1.136285328,1.1456115,1.16434139,1.12688161,1.140967199,1.130148022,60815,16.72102028,50,37.48667412,22.47896052,0.00678133
2022-11-03T18:30:00+05:30,1.11634,1.12304,1.11568,1.11834,NaN,1.152559474,1.132696262,1.143794,1.165470223,1.122117777,1.138138799,1.127040744,62743,20.83377948,50,35.66796605,21.65637,0.006822663
2022-11-03T22:30:00+05:30,1.11834,1.11892,1.11519,1.11578,NaN,1.149609116,1.12931301,1.14205,1.166651239,1.117448761,1.135343949,1.125836267,29398,19.45055586,50,33.8971978,20.55346293,0.006601759
2022-11-04T02:30:00+05:30,1.11578,1.11891,1.11497,1.11844,NaN,1.146167204,1.127138408,1.14054,1.166976743,1.114103257,1.133230956,1.11744,19023,25.25177674,50,32.7773233,22.90261984,0.006411633
2022-11-04T06:30:00+05:30,1.11844,1.12398,1.11766,1.12342,1,1.14242354,1.126394726,1.139375,1.166659663,1.112090337,1.132004586,1.120134077,33009,35.09692687,50,32.61775562,28.99977335,0.006405088
2022-11-04T10:30:00+05:30,1.12342,1.12428,1.11918,1.12226,NaN,1.139129115,1.125567781,1.1380835,1.166033015,1.110133985,1.130786513,1.120933864,42778,33.9259856,50,32.36001429,31.46287948,0.006311867
2022-11-04T14:30:00+05:30,1.12226,1.12754,1.11468,1.12676,NaN,1.136230021,1.125806225,1.1368885,1.164627893,1.109149107,1.130283199,1.121706403,56914,42.32385797,50,32.86607878,36.89336872,0.006779591
2022-11-04T18:30:00+05:30,1.12676,1.13376,1.12328,1.1296,NaN,1.11468,1.12656498,1.135722,1.162614184,1.108829816,1.130197799,1.124260198,83872,47.09773464,50,33.78758715,41.99555168,0.007043906
2022-11-04T22:30:00+05:30,1.1296,1.13823,1.12934,1.13749,NaN,1.11468,1.128749984,1.1348415,1.1602504,1.1094326,1.131109324,1.125904269,42491,57.97050767,50,35.68894212,49.98302967,0.00717577
2022-11-07T03:30:00+05:30,1.13749,1.13749,1.1306,1.13261,NaN,1.115622,1.129521987,1.134222,1.159210677,1.109233323,1.131296909,1.133566667,30026,50.717484,50,36.89948499,50.35025684,0.007155358
2022-11-07T07:30:00+05:30,1.13261,1.135,1.13183,1.13352,NaN,1.11652632,1.13032159,1.133491,1.15764991,1.10933209,1.131574795,1.13350849,29865,51.97793768,50,38.24564033,51.16409726,0.006870689
2022-11-07T11:30:00+05:30,1.13352,1.14706,1.12904,1.1441,NaN,1.117394467,1.133077272,1.133163,1.156546282,1.109779718,1.133140446,1.136548085,51738,64.01566078,50,40.61970136,57.58987902,0.007667069
2022-11-07T15:30:00+05:30,1.1441,1.14777,1.14264,1.147,NaN,1.119174399,1.135861817,1.132987,1.155893187,1.110080813,1.13487289,1.139276693,46669,66.59760029,50,43.13915921,62.09373965,0.00748585
2022-11-07T19:30:00+05:30,1.147,1.15186,1.14412,1.15177,NaN,1.121462047,1.139043454,1.1330185,1.156025963,1.110011037,1.136985029,1.141668363,49936,70.51268103,50,45.93553443,66.30321034,0.007504003
2022-11-07T23:30:00+05:30,1.15177,1.15416,1.15098,1.15138,NaN,1.124501843,1.141510763,1.133044,1.15613154,1.10995646,1.1387844,1.142623177,20819,69.76058736,50,48.56644864,68.03189885,0.007195146
2022-11-08T03:30:00+05:30,1.15138,1.1537,1.15065,1.15152,NaN,1.128060821,1.143512611,1.133313,1.157118809,1.109507191,1.14037635,1.151956667,20344,69.89028358,50,51.12126487,68.96109121,0.006899064
2022-11-08T07:30:00+05:30,1.15152,1.15192,1.14799,1.14868,-1,1.131192723,1.144546088,1.133799,1.158428717,1.109169283,1.141414306,1.150685918,22365,63.65927322,50,53.01843659,66.31018222,0.006686988
2022-11-08T11:30:00+05:30,1.14868,1.14979,1.14438,1.14916,NaN,1.133948796,1.145468871,1.1342875,1.159716,1.108859,1.142382518,1.149261309,40982,64.26504677,50,54.86390328,65.2876145,0.006595775
2022-11-08T15:30:00+05:30,1.14916,1.14937,1.14299,1.14462,NaN,1.136374141,1.145299097,1.1344315,1.160059021,1.108803979,1.142662203,1.148130894,38288,54.58349111,50,55.67663733,59.9355528,0.006580362
2022-11-08T19:30:00+05:30,1.14462,1.15996,1.14447,1.15781,1,1.138508444,1.147801277,1.13603,1.163253099,1.108806901,1.144555678,1.149825017,48566,69.56799458,50,57.74612697,64.75177369,0.007216765
2022-11-08T23:30:00+05:30,1.15781,1.15857,1.15128,1.15466,NaN,1.141511662,1.149173022,1.137946,1.164746915,1.111145085,1.145818718,1.150612551,31796,63.90337576,50,59.15881698,64.32757473,0.007221996
2022-11-09T03:30:00+05:30,1.15466,1.15586,1.1523,1.15302,NaN,1.144094429,1.149942417,1.13968,1.165657453,1.113702547,1.146718878,1.153726667,26783,60.99441992,50,60.12314277,62.66099732,0.006960425
2022-11-09T07:30:00+05:30,1.15302,1.15602,1.15302,1.15352,NaN,1.146315609,1.150657934,1.141567,1.165746581,1.117387419,1.147569019,1.154003421,40450,61.59405966,50,60.95032153,62.12752849,0.006677537
2022-11-09T11:30:00+05:30,1.15352,1.15675,1.14376,1.14518,-1,1.15996,1.149562347,1.142904,1.164655804,1.121152196,1.147270391,1.151610034,52816,47.80374544,50,60.34738392,54.96563697,0.007128427
2022-11-09T15:30:00+05:30,1.14518,1.14764,1.14048,1.14106,NaN,1.159636,1.147861878,1.143786,1.163655175,1.123916825,1.146494092,1.148900677,55688,42.51382434,50,59.14080332,48.73973065,0.007130683
2022-11-09T19:30:00+05:30,1.14106,1.144,1.13553,1.13795,NaN,1.15886976,1.145879502,1.1445705,1.16207651,1.12706449,1.145426081,1.146282547,64598,38.86185985,50,57.52749846,43.80079525,0.007226348
2022-11-09T23:30:00+05:30,1.13795,1.13853,1.1334,1.13562,NaN,1.157469374,1.143827602,1.1450135,1.161083811,1.128943189,1.144200321,1.144928456,35847,36.2381802,50,55.65937886,40.01948772,0.007076609
2022-11-10T03:30:00+05:30,1.13562,1.13925,1.13538,1.13874,NaN,1.155543824,1.142810081,1.1454705,1.160227724,1.130713276,1.143517781,1.13779,22448,42.12436866,50,54.31635781,41.07192819,0.006847565
2022-11-10T07:30:00+05:30,1.13874,1.1412,1.13725,1.14075,NaN,1.153772318,1.142398065,1.1456335,1.160103757,1.131163243,1.143171808,1.138946537,32997,45.75378575,50,53.30414735,43.41285697,0.006640597
