time,open,high,low,close,Exit Arrows,ParabolicSAR,EMA,Basis,Upper,Lower,EMA,VWAP,Volume,RSI,Centre line,Volume strength,Price strength,ATR
2022-10-19T18:30:00+05:30,19163.4,19299,19078,19178.7,NaN,19933.414,19288.6418,19387.375,19755.25381,19019.49619,19326.38359,19214.59015,129282,39.23278472,50,48.27621521,39.60907666,234.1376169
2022-10-19T22:30:00+05:30,19178.7,19250.5,19099.2,19197.4,NaN,19899.19744,19270.39344,19356.86,19678.56427,19035.15573,19310.26064,19207.36561,111221,40.7922012,50,47.36417809,40.20063893,228.2206442
2022-10-20T02:30:00+05:30,19197.4,19209.6,18931.9,18970.2,NaN,19866.34954,19210.35475,19340.12,19703.07458,18977.16542,19267.75306,19037.23333,49787,30.19940868,50,45.57348463,35.20002381,231.7548839
2022-10-20T06:30:00+05:30,18970.2,19204.7,18924.2,19181.2,1,19810.28257,19204.5238,19340.46,19702.80521,18978.11479,19256.93393,19071.66334,54069,45.09538103,50,45.28480711,40.14770242,235.2366779
2022-10-20T10:30:00+05:30,19181.2,19196.2,19093.6,19112.2,NaN,19739.39596,19186.05904,19334.49,19707.58773,18961.39227,19238.84219,19094.67571,60776,41.81264084,50,44.71634811,40.98017163,225.7626295
2022-10-20T14:30:00+05:30,19112.2,19281.3,19106.4,19132.8,NaN,19674.18029,19175.40723,19329.61,19710.49776,18948.72224,19225.58691,19119.17179,74231,43.20135567,50,44.29340091,42.09076365,222.1295845
2022-10-20T18:30:00+05:30,19132.8,19340.7,19126.7,19181.4,NaN,19614.18186,19176.60579,19325.69,19710.95948,18940.42052,19220.06355,19150.30972,112766,46.58488661,50,44.19836584,44.33782513,221.5488999
2022-10-20T22:30:00+05:30,19181.4,19185.2,18943.8,19028.2,NaN,19558.98332,19146.92463,19301.155,19696.45077,18905.85923,19196.08061,19129.03741,97602,38.4600128,50,43.37022845,41.39891896,222.9668356
2022-10-21T02:30:00+05:30,19028.2,19097.2,18976.4,19048,NaN,19508.20065,19127.1397,19277.995,19675.6216,18880.3684,19177.57053,19040.53333,42523,39.98200358,50,42.72551891,40.69046127,215.6692045
2022-10-21T06:30:00+05:30,19048,19132.2,19022.4,19048.8,NaN,19461.4806,19111.47176,19253.985,19646.03903,18861.93097,19161.47421,19054.29372,43323,40.04939824,50,42.16105702,40.36992976,208.1071185
2022-10-21T10:30:00+05:30,19048.8,19083.7,18939.6,18978.6,-1,19418.49815,19084.89741,19223.035,19599.10398,18846.96602,19138.61494,19030.32912,69278,36.05286505,50,41.30577921,38.2113974,203.5351815
2022-10-21T14:30:00+05:30,18978.6,19028.5,18696.8,18879.4,NaN,19378.9543,19043.79793,19187.905,19554.42545,18821.38455,19106.21307,18972.86879,85186,31.11651978,50,40.0941179,34.66395859,212.6898114
2022-10-21T18:30:00+05:30,18879.4,19230.6,18858.6,19126.2,1,19310.73887,19060.27834,19167.445,19498.01078,18836.87922,19108.71144,19011.7248,155430,50.20074704,50,40.74149825,42.43235281,224.0691105
